0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,358,359,360,361,362,363,364,365,366,367,368,369,370,371,372,373,374,375,376,377,378,379,380,381,382,383,384,385,386,387,388,389,390,391,392,393,394,395,396,397,398,399,400,401,402,403,404,405,406,407,408,409,410,411,412,413,414,415,416,417,418,419,420,421,422,423,424,425,426,427
0,0.006756479378269006,0,0.006867055378727813,0,0,0,0,0,0,0.006590123692143752,0,0,0,0,0.007162347020992868,0,0,0,0,0.004198632827998852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005388947484210685,0,0,0.003515795363265026,0.004432427216502046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005884279945800102,0,0,0,0,0,0.003449253508469139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004407300925054772,0,0,0.007865413091135511,0,0.00391288625985378,0.007127000560373519,0,0,0,0,0,0,0,0,0,0.002998836601112048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005200882626658705,0,0,0,0,0.00399255943776609,0,0,0,0,0.007222834983629477,0.006955865133177343,0,0,0,0,0,0,0,0,0,0.005060219005191829,0,0,0,0,0,0,0,0,0,0,0.003280383961484751,0,0,0,0,0,0,0,0,0.003998554496790434,0,0,0,0,0,0.00420871981439562,0.007461182067382356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004638195000608625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005367206229570752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003761618940027374,0,0,0,0,0,0,0.005069755220635588,0,0,0,0,0,0,0,0,0
0.006756479378269006,0,0,0.006479767643880257,0,0,0,0,0,0,0.007284094494401374,0,0,0,0,0.007920534200253786,0,0,0,0,0.003760320074801171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00439542719572922,0,0,0.004236197035911448,0.003855627418347471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008389575081439893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00420598567390853,0,0,0.007325650027808413,0,0.003851332906492001,0.007309326006961232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003966849303437625,0,0,0.002986744305961003,0,0.004384638772471566,0,0,0,0,0.007337408298013825,0.007485180094560122,0,0,0,0,0,0,0,0,0,0.00394810264687114,0,0,0,0,0,0,0,0,0,0,0.003081092437878539,0,0,0,0,0,0,0,0,0.003443873302662472,0,0,0,0,0,0.004798847254081143,0.006454519478500849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004602310816690708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005306816128571756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002910347323889186,0,0,0,0,0,0,0.004514136933755957,0,0,0,0,0,0.00378836510121847,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00611725860837058,0,0,0,0,0,0,0,0.003436154143533424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004205194540193919,0,0,0,0,0,0,0,0.00583142158450721,0,0,0,0,0,0,0.006144716243132606,0,0.005011799136062449,0,0,0.003606122429662567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005748665192948052,0,0,0,0,0,0,0,0.003233365146808484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005608170202029569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00513132242474996,0,0.008600667868784679,0,0,0,0.008186657735107596,0.007954615649628776,0,0,0,0,0.004425989205319242,0,0,0.004215073481696287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005679296327123355,0.006114417577618622,0,0,0,0,0.00362783411050461,0,0,0,0,0,0,0,0,0,0,0,0,0.003686862734227679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007753920946704894,0,0,0,0.00438173304631048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005647135720940609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00745219606633714,0,0,0,0,0,0,0,0.004645120704852872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006513885614016353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003676820853055392,0.005766584057368226,0,0,0,0.005821374309100926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.006867055378727813,0.006479767643880257,0,0,0,0,0,0,0,0,0.00666759342900753,0,0,0,0,0.007347889087892903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004459206132324124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00634550577376574,0,0,0,0,0,0,0,0,0,0.004586665355698769,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006894706446933461,0.004557309243361653,0,0.006876165579553523,0.005286391887620038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005159088418247785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005294439139478831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006557260434049183,0.006645549825223892,0,0,0,0,0,0,0,0.005008753370239494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005156172414472136,0,0,0,0,0,0,0,0,0,0,0,0.006538616840538273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005314667074569344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005342102585407543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005325222681866132,0.005288583438731028,0,0,0,0.004789841207827923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005300440935513838,0.004872746635806105,0.005298433250267125,0,0.005301343639644004,0.005279571004190466,0,0.008955292886176573,0,0,0.005314779496008917
0,0,0,0,0,0.004281243976921456,0,0,0,0,0,0.004266554455232344,0.004010004584574306,0,0.004193523724054033,0,0,0,0,0,0,0,0,0,0.004314904842647751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004265042364445005,0.004073869886322971,0,0,0,0.004186963648778806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004344803640101936,0,0,0,0,0,0,0,0.004029053992329289,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004827200158729357,0,0.004288723488052718,0,0,0,0.004343410871929233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004080564700005634,0.004223939994367095,0,0,0,0.004418293315347095,0.004376568055020496,0.004466950210309217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004251076593932627,0.004623033238545946,0,0,0,0,0,0,0,0,0.00461289757034703,0,0,0,0,0,0,0,0,0.004855508647681799,0.004925432081138122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004368531449344184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004895941479548584,0,0,0,0,0.004871809181838411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0.004281243976921456,0,0,0,0,0,0,0,0.00436032940152169,0,0.005444229927532532,0,0,0,0.003671981999966091,0,0,0.004463691504885736,0,0,0.004315660318126521,0.003400616975156106,0,0,0,0,0,0,0,0.003142324920459558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004455447723233173,0,0,0,0,0,0,0.004563999890187251,0,0.003493813925379704,0,0,0,0,0,0.004691664852821147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003848854540364629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003665227865083341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002703504228021627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003174465664755748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003446050096492144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002798007778689567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006302654228483517,0,0,0,0,0,0,0,0.003353333242510644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004906532369215837,0.00647795321384395,0,0,0,0,0,0,0,0,0,0,0,0.002357435048986514,0,0,0,0,0,0,0,0.003128010608378961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004235188604869105,0.006367162795757209,0,0,0,0,0,0,0,0,0,0,0.004222804200508914,0,0,0,0.003396348615189468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00325482528004677,0,0,0,0,0,0,0,0,0,0.005068859289674424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002597791313663075,0,0,0.005030966821967862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005812824035412048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005477649338777785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0.01095879790452983,0,0,0,0,0.006565016607722666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009807701236255543,0,0,0,0,0,0,0,0,0.005191203082105889,0,0,0,0,0,0,0,0,0,0.005547678281151183,0,0,0.00580392056674329,0,0.005793758085323702,0,0.01141814628325306,0,0,0,0,0,0,0,0,0.00604036106801756,0,0,0,0,0,0,0.005992410544528226,0,0,0,0,0,0,0,0,0.007212817230326591,0,0,0,0,0,0.00597673213992908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005707183598984992,0,0,0,0,0,0,0.005288728028732077,0,0,0,0,0,0,0,0,0,0,0,0.005649294046417442,0,0,0.006009531168360168,0,0.005632289663786291,0,0,0,0,0,0,0.005246267919297827,0,0,0,0,0,0,0.005069505334881127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006614534653195631,0,0,0,0,0,0.005583644842185199,0,0,0,0,0,0,0,0,0,0,0,0,0.005297373538134027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005666870616647501,0,0,0,0,0,0,0.005711621170339947,0.005483311956338023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005626372029137867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005796550553129519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005873189025717079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004983371414448228,0,0,0,0,0,0,0.0091628475801756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0.01095879790452983,0,0,0,0,0,0.005811043700819484,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004816877775139679,0,0,0,0,0.009426053384607938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005184918756989606,0,0,0.0050596582233571,0,0.005051034331615555,0,0.01066933810587852,0,0,0,0,0,0,0,0,0.005022823515377188,0,0,0,0,0,0,0.005160311149712265,0,0,0,0,0,0,0,0.005316250656359631,0.008158594089205619,0,0,0,0,0.005527264698584519,0.006432757382910248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005255075929052876,0,0,0,0,0,0,0.005349745986765774,0,0,0,0,0,0,0,0,0,0,0,0.004941794986101112,0,0,0.00504300174850612,0,0.005063683098691471,0,0,0,0,0,0,0.005318442686890855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006140667630940025,0,0,0,0,0,0.005261819481685871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005303103318628267,0,0,0,0,0,0,0.006008674419887162,0.005203354749055842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005055141937500047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005053629758709774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005120309141200494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007389416630846659,0,0,0,0,0,0,0.004935118740860906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001171944152478451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
