fold,meta_index,drug_index,label,local_weight,global_weight,local_logit,global_logit,local_contribution,global_contribution,fused_logit,probability
1,76,106,1.0,0.38861445,0.6113855,-0.09335904,4.22189,-0.03628067,2.5812025,2.5449219,0.9272316
1,9,9,1.0,0.38861445,0.6113855,-2.7792323,-1.0941721,-1.0800498,-0.668961,-1.7490108,0.148172
1,33,39,1.0,0.38861445,0.6113855,6.1086035,-4.3839617,2.3738916,-2.6802907,-0.3063991,0.42399395
1,349,17,1.0,0.38861445,0.6113855,-0.031787314,-9.92258,-0.01235301,-6.0665216,-6.0788746,0.0022855178
1,9,93,1.0,0.38861445,0.6113855,3.376671,1.747925,1.3122232,1.0686561,2.3808794,0.9153576
1,183,445,1.0,0.38861445,0.6113855,-3.2744334,4.437399,-1.2724922,2.7129614,1.4404693,0.8085273
1,16,402,1.0,0.38861445,0.6113855,0.5845194,7.781878,0.22715268,4.7577276,4.9848804,0.9932059
1,6,514,1.0,0.38861445,0.6113855,-0.6283465,-2.610665,-0.24418452,-1.5961229,-1.8403074,0.13701494
1,202,155,1.0,0.38861445,0.6113855,-6.000325,-9.887151,-2.331813,-6.044861,-8.376674,0.00023012134
1,211,132,1.0,0.38861445,0.6113855,4.2729025,7.5940228,1.6605116,4.6428757,6.303387,0.99817324
1,347,17,1.0,0.38861445,0.6113855,0.8862125,2.0497067,0.34439498,1.253161,1.5975559,0.83167654
1,129,470,1.0,0.38861445,0.6113855,3.6745088,2.016805,1.4279672,1.2330453,2.6610126,0.93468654
1,29,102,1.0,0.38861445,0.6113855,0.1258431,-6.073877,0.048904445,-3.7134805,-3.664576,0.024975287
1,97,430,1.0,0.38861445,0.6113855,3.0535042,3.7588756,1.1866359,2.2981222,3.484758,0.9702509
1,368,359,1.0,0.38861445,0.6113855,0.29610404,1.8404896,0.115070306,1.1252487,1.240319,0.77561957
1,268,461,1.0,0.38861445,0.6113855,3.1941476,8.135882,1.2412919,4.9741607,6.2154527,0.9980057
1,35,414,1.0,0.38861445,0.6113855,2.4828598,6.2824416,0.9648752,3.840994,4.805869,0.9918848
1,4,10,1.0,0.38861445,0.6113855,3.8999004,3.2446706,1.5155576,1.9837446,3.4993024,0.9706679
1,109,612,1.0,0.38861445,0.6113855,3.4165359,0.4912811,1.3277152,0.30036214,1.6280773,0.835906
1,8,47,1.0,0.38861445,0.6113855,1.8344648,1.4217265,0.7128995,0.869223,1.5821226,0.8295049
1,37,254,1.0,0.38861445,0.6113855,3.8256724,3.2914588,1.4867115,2.0123503,3.4990618,0.97066104
1,8,168,1.0,0.38861445,0.6113855,6.8891435,5.210295,2.6772206,3.185499,5.8627195,0.99716455
1,7,91,1.0,0.38861445,0.6113855,6.3134537,7.7058015,2.4534993,4.7112155,7.164715,0.99922717
1,19,352,1.0,0.38861445,0.6113855,3.8225102,3.8837144,1.4854827,2.3744469,3.8599296,0.9793652
1,305,342,1.0,0.38861445,0.6113855,6.766245,7.6009874,2.6294606,4.647134,7.276594,0.99930894
1,16,305,1.0,0.38861445,0.6113855,3.6534202,7.0941815,1.4197719,4.33728,5.7570515,0.9968496
1,28,322,1.0,0.38861445,0.6113855,2.5569975,-2.3470376,0.9936862,-1.4349447,-0.44125855,0.3914411
1,16,532,1.0,0.38861445,0.6113855,0.756973,4.9173174,0.29417065,3.0063767,3.3005474,0.9644476
1,16,553,1.0,0.38861445,0.6113855,3.7807086,3.0108476,1.4692379,1.8407886,3.3100266,0.96477115
1,244,462,1.0,0.38861445,0.6113855,-7.6701503,-23.979057,-2.9807312,-14.660448,-17.64118,2.1803835e-08
1,14,48,1.0,0.38861445,0.6113855,5.217546,7.7158804,2.0276136,4.7173777,6.7449913,0.99882466
1,398,583,1.0,0.38861445,0.6113855,-4.0318565,-17.082727,-1.5668377,-10.444132,-12.010969,6.0771467e-06
